config,side,model,ctx,mva,strategy_forced,strategy_active,overlap,n_pinned,cache_ubatch,prompt_tps,decode_tps,vram_peak_delta,token_hash,status
# idle_used=1194
q35-c16384-mva12000-s1,pshard,q35,16384,12000,1,GPUONLY_ATTNPIN_FFNSTREAM,1,20,16384,5148.10,34.87,12477,1ab41fb1b74784cc,PPL_MISMATCH(stock= pshard=1.1365)
q35-c16384-mva12000-s2,pshard,q35,16384,12000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,23,16384,332.46,21.63,12308,6e83fa02a3d66005,PPL_MISMATCH(stock= pshard=1.1588)
q35-c16384-mva12000-s3,pshard,q35,16384,12000,3,STATIC_ATTNPRIO_ALLMODELS,1,20,16384,4115.98,46.12,12574,6e83fa02a3d66005,PPL_MISMATCH(stock= pshard=1.1500)
q35-c16384-mva12000-s4,pshard,q35,16384,12000,4,DYNAMIC_FFN_ALTERNATE,1,19,16384,540.70,42.30,12318,6e83fa02a3d66005,PPL_MISMATCH(stock= pshard=1.1506)
oss-c2048-mva2000,stock,oss,2048,2000,,,,,2048,147.06,22.22,2504,1e628583660c60ca,OK
oss-c2048-mva2000-sauto,pshard,oss,2048,2000,auto,STATIC_ATTNPRIO_ALLMODELS,1,2,2048,1016.22,30.93,2300,aa36160d79ae8289,TOKEN_DIVERGED_PPL_OK
oss-c2048-mva2000-s0,pshard,oss,2048,2000,0,GPUONLY_LAYERPIN_LAYERSTREAM,1,2,2048,954.34,4.10,2300,0f5a66788990fac8,TOKEN_DIVERGED_PPL_OK
oss-c2048-mva2000-s1,pshard,oss,2048,2000,1,GPUONLY_ATTNPIN_FFNSTREAM,1,1,2048,1003.87,19.19,2300,0f5a66788990fac8,TOKEN_DIVERGED_PPL_OK
oss-c2048-mva2000-s2,pshard,oss,2048,2000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,4,2048,94.67,16.98,2300,d48ac31c02fdc17b,PPL_MISMATCH(stock=1795.8187 pshard=2586.2379)
oss-c2048-mva2000-s3,pshard,oss,2048,2000,3,STATIC_ATTNPRIO_ALLMODELS,1,2,2048,1060.54,31.40,2310,aa36160d79ae8289,TOKEN_DIVERGED_PPL_OK
oss-c2048-mva2000-s4,pshard,oss,2048,2000,4,DYNAMIC_FFN_ALTERNATE,1,0,2048,150.90,26.00,2300,68176a94a4805b86,PPL_MISMATCH(stock=1795.8187 pshard=2965.1459)
oss-c2048-mva4000,stock,oss,2048,4000,,,,,2048,181.73,31.56,4435,a86259f5c74ff06d,OK
